Weather_conditions,Road_traffic_density,Age_Category,Delivery_Status
Fog,Low,Giovane,Puntuale
Stormy,Low,Giovane,Puntuale
Sunny,Jam,Giovane,Puntuale
Sunny,Low,Giovane,Puntuale
Sunny,Low,Adulto,Puntuale
Sunny,Low,Giovane,Puntuale
Sunny,Low,Senior,Puntuale
Windy,Jam,Giovane,Puntuale
Stormy,Medium,Adulto,Puntuale
Sandstorms,High,Adulto,Puntuale
Sandstorms,Low,Adulto,Puntuale
Fog,Low,Adulto,Puntuale
Sunny,Low,Senior,Puntuale
Fog,Low,Senior,Puntuale
Sunny,Low,Adulto,Puntuale
Sunny,Low,Adulto,Puntuale
Fog,Low,Giovane,Puntuale
Fog,Low,Senior,Puntuale
Fog,Low,Giovane,Puntuale
Cloudy,Low,Senior,Puntuale
Sunny,Medium,Adulto,Puntuale
Stormy,Jam,Giovane,Puntuale
Sunny,Low,Senior,Puntuale
Fog,High,Adulto,Puntuale
Sunny,Low,Giovane,Puntuale
Cloudy,Medium,Adulto,Puntuale
Cloudy,Low,Giovane,Puntuale
Fog,Low,Giovane,Puntuale
Sunny,Jam,Adulto,Puntuale
Stormy,Medium,Adulto,Puntuale
Sandstorms,Jam,Adulto,Puntuale
Stormy,Low,Giovane,Puntuale
Fog,Medium,Adulto,Puntuale
Stormy,Medium,Giovane,Puntuale
Sandstorms,Low,Senior,Puntuale
Sandstorms,Low,Senior,Puntuale
Stormy,Jam,Giovane,Puntuale
Cloudy,Low,Senior,Puntuale
Sunny,Jam,Senior,Puntuale
Windy,Jam,Giovane,Puntuale
Cloudy,Medium,Adulto,Puntuale
Windy,Low,Giovane,Puntuale
Sunny,Low,Adulto,Puntuale
Sunny,Medium,Senior,Puntuale
Sandstorms,Low,Adulto,Puntuale
Windy,High,Adulto,Puntuale
Fog,Medium,Adulto,Puntuale
Fog,High,Giovane,Puntuale
Windy,Medium,Giovane,Puntuale
Sandstorms,Jam,Giovane,Puntuale
Fog,Medium,Adulto,Puntuale
Stormy,Medium,Giovane,Puntuale
Stormy,Medium,Giovane,Puntuale
Sandstorms,Low,Senior,Puntuale
Sandstorms,Medium,Adulto,Puntuale
Windy,Medium,Giovane,Puntuale
Sunny,Jam,Senior,Puntuale
Fog,Medium,Giovane,Puntuale
Cloudy,Medium,Giovane,Puntuale
Sunny,Medium,Adulto,Puntuale
Windy,Medium,Senior,Puntuale
Sunny,High,Senior,Puntuale
Fog,Medium,Giovane,Puntuale
Windy,Low,Senior,Puntuale
Sunny,Medium,Senior,Puntuale
Sunny,Medium,Senior,Puntuale
Stormy,Jam,Giovane,Puntuale
Fog,Low,Senior,Puntuale
Fog,Low,Senior,Puntuale
Sandstorms,Jam,Giovane,Puntuale
Stormy,Medium,Giovane,Puntuale
Stormy,Low,Adulto,Puntuale
Windy,Low,Adulto,Puntuale
Fog,High,Giovane,Puntuale
Stormy,Low,Adulto,Puntuale
Stormy,Jam,Adulto,Puntuale
Stormy,Low,Senior,Puntuale
Sandstorms,Jam,Senior,Puntuale
Sandstorms,Medium,Adulto,Puntuale
Sandstorms,Jam,Giovane,Puntuale
Sandstorms,High,Senior,Puntuale
Windy,High,Senior,Puntuale
Stormy,Medium,Senior,Puntuale
Sandstorms,Medium,Adulto,Puntuale
Cloudy,Jam,Giovane,Puntuale
Windy,Low,Senior,Puntuale
Stormy,Medium,Senior,Puntuale
Windy,Jam,Giovane,Puntuale
Windy,Jam,Senior,Puntuale
Fog,Low,Senior,Puntuale
Fog,Low,Senior,Puntuale
Windy,Medium,Senior,Puntuale
Cloudy,Jam,Giovane,Puntuale
Sandstorms,High,Senior,Puntuale
Sandstorms,Medium,Senior,Puntuale
Windy,High,Adulto,Puntuale
Fog,Jam,Giovane,Puntuale
Cloudy,Jam,Adulto,Puntuale
Sandstorms,Jam,Senior,Puntuale
Stormy,Medium,Senior,Puntuale
Stormy,Medium,Senior,Puntuale
Sandstorms,Medium,Giovane,Puntuale
Cloudy,Jam,Giovane,Puntuale
Windy,Medium,Adulto,Puntuale
Stormy,Medium,Adulto,Puntuale
Stormy,Low,Senior,Puntuale
Sandstorms,Jam,Senior,Puntuale
Sandstorms,Medium,Senior,Puntuale
Fog,Jam,Adulto,Puntuale
Stormy,Medium,Senior,Puntuale
Stormy,Jam,Adulto,Puntuale
Windy,Jam,Giovane,Puntuale
Fog,Jam,Giovane,Puntuale
Cloudy,Medium,Giovane,Puntuale
Sunny,Medium,Senior,Puntuale
