Weather,Traffic,Area,Delay_Risk
Sandstorms,Jam,Metropolitian,Low
Cloudy,High,Metropolitian,High
Stormy,Jam,Metropolitian,Low
Sunny,Jam,Metropolitian,Low
Sandstorms,Low,Urban,Low
Stormy,Medium,Urban,Low
Sandstorms,Low,Metropolitian,Low
Windy,Low,Metropolitian,Low
Cloudy,Low,Urban,Low
Windy,Jam,Metropolitian,High
Sunny,High,Metropolitian,Low
Cloudy,Low,Metropolitian,High
Windy,High,Metropolitian,High
Cloudy,Jam,Metropolitian,Low
Windy,Jam,Metropolitian,High
Sunny,High,Metropolitian,Low
Sandstorms,Low,Metropolitian,Low
Stormy,Jam,Metropolitian,High
Sunny,Medium,Urban,Low
Windy,Jam,Metropolitian,High
Cloudy,Low,Urban,Low
Sunny,Medium,Metropolitian,Low
Sandstorms,Jam,Urban,Low
Windy,Medium,Other,Low
Stormy,High,Urban,Low
Stormy,High,Metropolitian,Low
Cloudy,Medium,Metropolitian,High
Sunny,Jam,Urban,Low
Cloudy,Low,Metropolitian,Low
Fog,Low,Metropolitian,Low
Sandstorms,Jam,Metropolitian,Low
Sunny,Low,Metropolitian,Low
Cloudy,Jam,Metropolitian,High
Cloudy,Low,Urban,Low
Sunny,High,Urban,Low
Fog,Low,Metropolitian,Low
Fog,Medium,Metropolitian,Low
Cloudy,Low,Metropolitian,Low
Sandstorms,Low,Other,Low
Fog,Low,Metropolitian,Low
Cloudy,Jam,Metropolitian,Low
Sandstorms,Jam,Metropolitian,Low
Sandstorms,Low,Urban,Low
Cloudy,Low,Metropolitian,Low
Fog,Low,Metropolitian,Low
Stormy,Medium,Metropolitian,High
Fog,Jam,Metropolitian,High
Cloudy,Low,Metropolitian,High
Fog,Medium,Urban,High
Stormy,Low,Metropolitian,Low
Fog,Jam,Metropolitian,High
Sunny,Jam,Metropolitian,Low
Sandstorms,High,Urban,Low
Sunny,Jam,Metropolitian,Low
Sunny,Jam,Metropolitian,High
Stormy,Jam,Metropolitian,High
Stormy,Jam,Urban,Low
Sandstorms,Low,Metropolitian,Low
Cloudy,Low,Metropolitian,Low
Cloudy,Low,Urban,Low
Windy,Medium,Metropolitian,High
Sunny,Medium,Metropolitian,High
Sandstorms,High,Metropolitian,Low
Stormy,Medium,Metropolitian,Low
Sandstorms,Medium,Metropolitian,Low
Windy,Low,Metropolitian,Low
